Source;Target
SL;SN1
DR;CL
DR;SM
GI;HD
GI;ZF
SL;SI1
BT1;ZF
BT1;MR
NL;DR
NL;LW
GL1;DR
GL1;MM
MT;GI
MT;SK
SM;HS
SM;SK
MR;BT1
MR;NL
HR1;SM
HR1;RT1
LW;SM
LW;BT1
SN2;MR
SN2;YP
RT1;SM
RT1;MD
LI;ZF
LI;OI
SI1;LW
SK;HR1
SK;SM
KP;HF
KP;YP
ZF;GI
ZF;PR
MD;SK
MD;SM
MM;HF
MM;YP
HF;MM
HF;YP
YP;MM
YP;HF
HS;AU
HS;OI
SI2;WO
SI2;BA
OI;BR1
OI;HS
BY;WR
BY;PL
FN;LR
LR;FN
FN;PL
TA;HS
TA;OI
BA;FS1
BA;ML
ML;BA
ML;AU
SE;NI
SE;HR2
HR2;SE
HR2;BY
HA;BR2
HA;SE
KI;BA
KI;BY
GL2;SM
GL2;PL
PL;GL2
PL;SK
FS2;PL
FS2;GL2
ZL;HS
ZL;ML
SO;PL
SO;FS2
BT2;SI2
BT2;KR
KR;BT2
KR;PR
PR;ZF
PR;BA
RT2;PL
RT2;BY
KE;MD
KE;MM
